last_name_first_name,player_id,year,p_formatted_ip,pa,strikeout,k_percent,bb_percent,p_era,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent
"Morton, Charlie",450203,2023,163.1,716,183,25.6,11.6,3.64,7.8,39.1,32.2,42.9
"Skenes, Paul",694973,2024,133,514,170,33.1,6.2,1.96,5.2,36.3,28.7,49.8
"Matz, Steven",571927,2023,105,449,98,21.8,7.1,3.86,4.7,38,25.3,47.8
"Kelly, Merrill",518876,2025,184,748,167,22.3,6.4,3.52,9.3,43.5,24.1,49.3
"Crochet, Garrett",676979,2025,205.1,814,255,31.3,5.7,2.59,7.3,37.3,29.4,51.8
"Brown, Ben",676962,2025,106.1,472,121,25.6,6.8,5.92,11.4,47.3,28.3,47.9
"Newcomb, Sean",656794,2025,92.1,391,91,23.3,7.9,2.73,5.7,41.8,21.4,46.2
"Yamamoto, Jordan",657141,2019,78.2,325,82,25.2,11.1,4.46,7,38.8,23.1,45
"Cessa, Luis",570666,2019,81,343,75,21.9,9,4.11,5.5,37.6,29.3,47.2
"Odorizzi, Jake",543606,2022,106.1,453,86,19,7.7,4.4,7.3,33.1,22.2,50.1
"Abbott, Andrew",671096,2023,109.1,459,120,26.1,9.6,3.87,9.2,42.5,25.6,46.8
"Cease, Dylan",656302,2024,189.1,762,224,29.4,8.5,3.47,8.5,38.6,32.4,48.2
"Phillips, Tyler",663969,2025,77.2,313,52,16.6,7.7,2.78,5.1,43.4,27.3,47.9
"Rogers, Trevor",669432,2022,107,477,106,22.2,9.4,5.47,7.5,37.4,25.8,49
"Ryu, Hyun Jin",547943,2021,169,701,143,20.4,5.3,4.37,8.5,41.6,22.6,47.5
"Uceta, Edwin",670955,2025,76,321,103,32.1,8.4,3.79,9.3,36.6,35.6,53
"Plesac, Zach",668676,2019,115.2,475,88,18.5,8.4,3.81,8.9,38.7,21.6,47.6
"Cueto, Johnny",456501,2022,158.1,651,102,15.7,5.1,3.35,7.3,35.9,17.6,49.8
"Lugo, Seth",607625,2025,145.1,611,125,20.5,9,4.15,11.1,45.2,20.6,43.9
"Gallen, Zac",668678,2019,80,334,96,28.7,10.8,2.81,5.8,35.9,29.3,46.3
"Sánchez, Aníbal",434671,2019,166,712,134,18.8,8.1,3.85,7.3,28.3,22.4,48.4
"Cueto, Johnny",456501,2021,114.2,490,98,20,6.1,4.08,6.4,38,22.8,50.4
"Ashby, Aaron",676879,2022,107.1,475,126,26.5,9.9,4.44,6.8,34.1,29.6,44.2
"Gray, Sonny",543243,2021,135.1,575,155,27,8.7,4.19,4.7,32.1,26.2,43
"Fiers, Mike",571666,2019,184.2,754,126,16.7,7,3.9,8.1,38.3,18.2,47.3
"Junk, Janson",676083,2025,110,447,77,17.2,2.9,4.17,8.5,47.3,18.2,52.5
"Wood, Alex",622072,2023,97.2,429,74,17.2,9.8,4.33,5.6,37.4,21.7,45.8
"Davies, Zach",605200,2021,148,668,114,17.1,11.2,5.78,9.1,43.3,22.3,43.2
"Ryan, Joe",657746,2023,161.2,672,197,29.3,5.1,4.51,8.7,41.6,26.8,55.1
"Samardzija, Jeff",502188,2019,181.1,740,140,18.9,6.6,3.52,8.9,37.7,20.2,48.3
"Berríos, José",621244,2019,200.1,842,195,23.2,6.1,3.68,7.1,32,23.5,49.1
"Darvish, Yu",506433,2019,178.2,731,229,31.3,7.7,3.98,8,37.5,30.4,48.3
"Manoah, Alek",666201,2022,196.2,786,180,22.9,6.5,2.24,5.4,31.5,24.9,49.5
"Houck, Tanner",656557,2024,178.2,743,154,20.7,6.5,3.12,5.8,41.8,22.6,46.8
"Lester, Jon",452657,2019,171.2,764,165,21.6,6.8,4.46,8.2,34.7,21.1,45.7
"Ortiz, Luis",682847,2024,135.2,556,107,19.2,7.6,3.32,8.8,37.7,21,48.1
"Glasnow, Tyler",607192,2024,134,522,168,32.2,6.7,3.49,8.5,40.1,30.9,48.4
"Schmidt, Clarke",657376,2023,159,694,149,21.5,6.6,4.64,7.6,41,22.8,47.1
"Lyles, Jordan",543475,2022,179,774,144,18.6,6.7,4.42,10.4,38.8,21.9,46.3
"Kuhl, Chad",641771,2022,137,617,110,17.8,9.4,5.72,9.7,44.6,23.6,45.5
"Boyd, Matthew",571510,2019,185.1,788,238,30.2,6.3,4.56,10,35.3,31.1,49.8
"Urías, Julio",628711,2023,117.1,482,117,24.3,5,4.6,8.7,34.5,24.2,49.5
"Littell, Zack",641793,2025,186.2,759,130,17.1,4.2,3.81,9.9,40.9,20.4,51.8
"Hendricks, Kyle",543294,2019,177,730,150,20.5,4.4,3.46,6,31.5,22.1,49.3
"Whitlock, Garrett",676477,2022,78.1,311,82,26.4,4.8,3.45,8,39,29.6,51.3
"Bassitt, Chris",605135,2022,181.2,745,167,22.4,6.6,3.42,6.6,32.8,23.6,46.5
"Sandoval, Patrick",663776,2022,148.2,638,151,23.7,9.4,2.91,5.8,34,29.6,48.2
"Scherzer, Max",453286,2023,152.2,621,174,28,7.2,3.77,8.5,36.9,28.6,51
"Bundy, Dylan",605164,2022,140,595,94,15.8,4.7,4.89,9,38.3,21.3,52.2
"Lambert, Peter",663567,2019,89.1,420,57,13.6,8.6,7.25,6.6,39.6,16.9,45.3
"Bubic, Kris",663460,2025,116.1,476,116,24.4,8.2,2.55,6.6,39.3,28.8,49.2
"Bello, Brayan",678394,2023,157,668,132,19.8,6.7,4.24,7,44.3,24.4,48.4
"Scott, Tanner",656945,2023,78,307,104,33.9,7.8,2.31,3.5,26.3,36.2,51.2
"Scherzer, Max",453286,2019,172.1,693,243,35.1,4.8,2.92,7.1,35.5,33.9,52.5
"Burnes, Corbin",669203,2023,193.2,784,200,25.5,8.4,3.39,5.3,32.4,28.8,46.3
"Bazardo, Eduard",660825,2025,78.2,313,82,26.2,8.6,2.52,9.4,37.1,19.4,42.9
"Kremer, Dean",665152,2022,125.1,512,87,17,6.6,3.23,7.3,39.2,22.3,50.7
"Hendricks, Kyle",543294,2022,84.1,356,66,18.5,6.7,4.8,10,38.9,23.9,45.6
"Lynn, Lance",458681,2024,117.1,511,109,21.3,8.6,3.84,10.5,39.3,24.1,48.4
"McCullers Jr., Lance",621121,2021,162.1,684,185,27,11.1,3.16,5.3,40.7,30.2,41.6
"Severino, Luis",622663,2025,162.2,705,124,17.6,7.1,4.54,6,41.9,18.3,47.3
"Gonzalez, Gio",461829,2019,87.1,366,78,21.3,10.1,3.5,7.3,31.2,25.9,44.2
"Nola, Aaron",605400,2023,193.2,793,202,25.5,5.7,4.46,8.3,38.5,26,49.3
"Elder, Bryce",693821,2025,156.1,679,131,19.3,7.5,5.3,7.8,43.8,22.5,46.3
"Williams, Trevor",592866,2023,144.1,658,111,16.9,7.9,5.55,10.3,38.6,19,47.1
"Foltynewicz, Mike",592314,2019,117,491,105,21.4,7.5,4.54,8.8,39.8,23.6,48.8
"Stripling, Ross",548389,2022,134.1,536,111,20.7,3.7,3.01,9.2,37.2,23.6,51.5
"Quintana, Jose",500779,2023,75.2,319,60,18.8,7.5,3.57,5.1,32.5,21.6,45.5
"DeSclafani, Anthony",543101,2023,99.2,419,79,18.9,4.8,4.88,8.3,45.1,20.3,46.7
"Chirinos, Yonny",630023,2023,85,367,53,14.4,7.4,5.4,9.3,45.6,17.7,48.7
"Castillo, Luis",622491,2022,150.1,615,167,27.2,7.3,2.99,6.9,37.6,27.8,49.4
"Fedde, Erick",607200,2025,141,623,83,13.3,10.8,5.49,7.9,42.6,18,44.7
"Fried, Max",608331,2025,195.1,801,189,23.6,6.4,2.86,6.9,37.2,26.6,46.9
"Allen, Logan",671106,2025,156.2,676,122,18,9.2,4.25,9.1,37.5,20.6,44.3
"Giolito, Lucas",608337,2025,145,613,121,19.7,9.1,3.41,9,41.1,22.9,47.3
"Kaprielian, James",621076,2022,134,577,98,17,10.2,4.23,8,36.4,21.3,47.8
"Glasnow, Tyler",607192,2021,88,340,123,36.2,7.9,2.66,9,46.8,37,49.1
"Wacha, Michael",608379,2021,124.2,528,121,22.9,5.9,5.05,10.5,43,23,53.6
"Wheeler, Zack",554430,2025,149.2,585,195,33.3,5.6,2.71,7.2,34.1,31.5,50.3
"Allen, Logan",671106,2023,125.1,537,119,22.2,8.9,3.81,7.6,39.1,24,47.7
"Springs, Jeffrey",605488,2025,171,713,138,19.4,7.6,4.11,8.1,37.3,26,46.3
"Javier, Cristian",664299,2023,162,687,159,23.1,9,4.56,9.4,38.3,27.1,48
"Bubic, Kris",663460,2021,130,556,114,20.5,10.6,4.43,9,39.6,23.4,44.8
"Petit, Yusmeiro",433589,2021,78,313,37,11.8,3.8,3.92,8.4,30,21,51.8
"Syndergaard, Noah",592789,2023,88.2,391,56,14.3,4.9,6.5,11.1,42.2,17.9,49.1
"Manning, Matt",666159,2023,78,316,50,15.8,6.6,3.58,10.9,43.9,18.8,46.8
"Lopez, Jacob",682052,2025,92.2,399,113,28.3,9.3,4.08,6.6,33.2,28.3,45.6
"Williams, Trevor",592866,2025,82.2,373,65,17.4,5.6,6.21,8.5,40.7,19.8,46.7
"Wentz, Joey",666214,2023,105.2,492,98,19.9,9.6,6.9,11.5,41.5,25.5,47.8
"Imanaga, Shota",684007,2025,144.2,567,117,20.6,4.6,3.73,11.6,43.5,24.6,53.8
"Law, Derek",571882,2024,90,365,76,20.8,6.6,2.6,3.8,35.2,28.6,49.9
"Verlander, Justin",434378,2024,90.1,396,74,18.7,6.8,5.48,6.9,32.5,21.3,48.7
"Kaprielian, James",621076,2021,119.1,502,123,24.5,8.2,4.07,9.4,42.3,27.2,45.7
"Senzatela, Antonio",622608,2025,130,618,73,11.8,7.6,6.65,9.3,46,18.1,46.7
"Ohtani, Shohei",660271,2022,166,660,219,33.2,6.7,2.33,6.4,33.2,33.1,49
"Suarez, Ranger",624133,2023,125,540,119,22,8.9,4.18,7.5,36.1,23.1,45
"Detmers, Reid",672282,2024,87.1,391,109,27.9,9.7,6.7,10.7,39.3,29.2,48.9
"Richards, Garrett",572070,2021,136.2,617,115,18.6,9.7,4.87,8.5,47.8,22.5,48.9
"Gray, Sonny",543243,2022,119.2,488,117,24,7.4,3.08,5.5,39.8,22.1,43.4
"Young, Alex",622065,2019,83.1,349,71,20.3,7.7,3.56,7.7,35.6,27.4,47.8
"Gray, Sonny",543243,2025,180.2,753,201,26.7,5,4.28,9.8,40.7,27.5,47.4
"Falter, Bailey",663559,2022,84,349,74,21.2,4.9,3.86,8.4,38.5,24,48.6
"Myers, Tobias",668964,2024,138,569,127,22.3,6.3,3,8,38.7,21.3,49.6
"Houser, Adrian",605288,2019,111.1,462,117,25.3,8,3.72,5.4,35.3,24.4,44.7
"Anderson, Tyler",542881,2025,136.1,599,104,17.4,9.5,4.56,11,36.6,25,49
"Steele, Justin",657006,2022,119,512,126,24.6,9.8,3.18,3.9,33.7,24,47.3
"Rodón, Carlos",607074,2024,175,736,195,26.5,7.7,3.96,11,40.9,30.1,49.4
"Strider, Spencer",675911,2025,125.1,539,131,24.3,9.5,4.45,10.6,42.7,30.6,47.6
"Lawrence, Justin",664875,2023,75,326,78,23.9,11,3.72,5.4,39,24.1,41.7
"Strahm, Matt",621381,2019,114.2,487,118,24.2,4.5,4.71,10.5,40,23.3,50.8
"Weaver, Luke",596133,2023,123.2,563,109,19.4,7.1,6.4,9.8,42,21.6,47.3
"Márquez, Germán",608566,2020,81.2,344,73,21.2,7.3,3.75,4.9,40.2,26.3,49
"Fedde, Erick",607200,2022,127,573,94,16.4,10.1,5.81,8.1,43.5,18.4,43
"Peterson, David",656849,2022,105.2,454,126,27.8,10.6,3.83,7.7,41.4,30.4,44.6
"Hader, Josh",623352,2019,75.2,289,138,47.8,6.9,2.62,16.2,42,41.8,59
"Stratton, Chris",608717,2023,82.2,338,81,24,7.4,3.92,8.3,39.1,22,47.5
"Hernández, Elieser",622694,2019,82.1,353,85,24.1,7.4,5.03,10,31.8,25.2,48.8
"Ryan, Joe",657746,2025,171,689,194,28.2,5.7,3.42,11.5,41.9,26.1,49.7
"Irvin, Jake",663623,2023,121,530,99,18.7,10.2,4.61,10.3,39.6,17.9,43.7
"Carrasco, Carlos",471911,2023,90,417,66,15.8,9.1,6.8,10.7,48.2,24.7,46.9
"McClanahan, Shane",663556,2021,123.1,517,141,27.3,7.2,3.43,10.7,45.7,32.1,50.2
"Ray, Robbie",592662,2021,193.1,773,248,32.1,6.7,2.84,9.9,43.1,32.3,52
"Kikuchi, Yusei",579328,2024,175.2,736,206,28,6,4.05,9.7,45,29,48.4
"Schwellenbach, Spencer",680885,2024,123.2,500,127,25.4,4.6,3.35,5,39.8,27.4,53.1
"Stratton, Chris",608717,2021,79.1,337,86,25.5,9.8,3.63,7,36.9,28.3,47.3
"Rodriguez, Eduardo",593958,2019,203.1,859,213,24.8,8.7,3.81,6.5,29.4,27.4,46.4
"Jones, Jared",683003,2024,121.2,504,132,26.2,7.7,4.14,9.8,44.5,30.2,51.6
"Gibaut, Ian",664139,2023,75.2,318,69,21.7,8.8,3.33,6,31.9,25.5,51.7
"Lynn, Lance",458681,2022,121.2,512,124,24.2,3.7,3.99,6.7,38.7,28.5,52.3
"Senzatela, Antonio",622608,2022,92.1,413,54,13.1,5.6,5.07,4.5,41.4,16.3,47.5
"Nelson, Ryne",669194,2024,150.2,630,126,20,5.4,4.24,7.5,41.6,18.2,51.8
"Hamels, Cole",430935,2019,141.2,617,143,23.2,9.1,3.81,8.3,41.3,27.4,47.3
"Oviedo, Johan",670912,2023,177.2,781,158,20.2,10.6,4.31,7.6,40.2,26,46.5
"Valdez, Framber",664285,2021,134.2,572,125,21.9,10.1,3.14,5.9,44.4,26.3,42.4
"Flexen, Chris",623167,2023,102.1,466,74,15.9,8.2,6.86,9.4,41.4,22.3,48
"Rodón, Carlos",607074,2025,195.1,789,203,25.7,9.3,3.09,7.6,38.9,30.3,45.5
"Ureña, José",570632,2022,97,432,63,14.6,10,5.01,6.8,38.5,19.5,46.7
"Gibson, Kyle",502043,2023,192,807,157,19.5,6.8,4.73,7.6,44.5,25.4,45.6
"Scherzer, Max",453286,2025,85,358,82,22.9,6.4,5.19,12.4,38.2,23.6,50.1
"Vásquez, Randy",681190,2025,133.2,570,78,13.7,9.1,3.84,10.9,39.3,15.7,46.4
"Germán, Domingo",593334,2019,143,594,153,25.8,6.6,4.03,9.7,40.1,28.2,49.5
"Crawford, Kutter",676710,2024,183.2,759,175,23.1,6.7,4.36,9.9,36.3,25.3,52
"Soroka, Michael",647336,2025,89.2,379,95,25.1,7.7,4.52,6.7,40.4,23.7,45.5
"López, Pablo",641154,2024,185.1,772,198,25.6,5.3,4.08,8.2,37.5,27,51.8
"Skaggs, Tyler",572140,2019,79.2,335,78,23.3,8.4,4.29,6.9,33.9,21.5,46.3
"Kremer, Dean",665152,2023,172.2,735,157,21.4,7.5,4.12,8.9,40.3,24,47.7
"Chatwood, Tyler",543022,2019,76.2,324,74,22.8,11.4,3.76,3.1,35.6,25.3,42.7
"Evans, Logan",688138,2025,81.1,350,59,16.9,8.9,4.32,10.5,42.6,19.4,45
"Pivetta, Nick",601713,2025,181.2,721,190,26.4,6.9,2.87,10.9,45,24.6,47.7
"McKenzie, Triston",663474,2024,75.2,340,74,21.8,14.4,5.11,13.1,41.9,23.1,42.5
"López, Reynaldo",625643,2024,135.2,543,148,27.3,7.7,1.99,8.8,42.2,27.5,49
"Watkins, Spenser",657093,2022,105.1,459,63,13.7,6.5,4.7,7.2,37.6,19.7,47.6
"Voth, Austin",608723,2022,101.2,442,90,20.4,7,4.34,8.5,37.2,24.6,47.9
"Scherzer, Max",453286,2022,145.1,565,173,30.6,4.2,2.29,8.5,33.9,30.6,52.2
"Patiño, Luis",672715,2021,77.1,333,74,22.2,8.7,4.31,8.4,40.5,25.4,51.1
"Peña, Félix",570240,2019,96.1,407,101,24.8,8.4,4.58,7.3,37.6,29.4,45
"Strider, Spencer",675911,2023,186.2,763,281,36.8,7.6,3.86,8.2,36.1,38.6,53
"Bieber, Shane",669456,2023,128,533,107,20.1,6.4,3.8,7.8,47.8,24.3,46.1
"Pepiot, Ryan",686752,2025,167.2,679,167,24.6,9,3.86,9.7,42.5,26,50.1
"Roark, Tanner",543699,2019,165.1,722,158,21.9,7.1,4.35,9.2,37.3,21.1,45.9
"Olson, Reese",681857,2023,103.2,422,103,24.4,7.8,3.99,10.9,42.8,27.4,46.3
"Morton, Charlie",450203,2021,185.2,756,216,28.6,7.7,3.34,5,32.5,29.1,46
"Nola, Aaron",605400,2022,205,807,235,29.1,3.6,3.25,7.1,31.6,27.9,49.5
"Burke, Sean",680732,2025,134.1,596,133,22.3,10.6,4.22,10.5,42.7,25.1,46.9
"Darvish, Yu",506433,2020,76,297,93,31.3,4.7,2.01,6.5,34.2,32.1,49.7
"Greene, Hunter",668881,2024,150.1,611,169,27.7,9.3,2.75,5.2,32.5,29.7,50.6
"Pérez, Martín",527048,2021,114,509,97,19.1,7.1,4.74,9.3,42.2,19.3,46
"Pivetta, Nick",601713,2019,93.2,421,89,21.1,9.3,5.38,11.1,34.9,24.4,46.1
"Sampson, Adrian",592716,2019,125.1,563,101,17.9,6.4,5.89,10.9,47.2,21.4,49.5
"Hendricks, Kyle",543294,2023,137,578,93,16.1,4.7,3.74,6.2,31.5,21.1,46.7
"Kelly, Merrill",518876,2022,200.1,804,177,22,7.6,3.37,8.4,36.5,23.6,48.5
"Heasley, Jonathan",669169,2022,104,465,70,15.1,10.1,5.28,9.4,45.3,19.3,46
"Pepiot, Ryan",686752,2024,130,539,142,26.3,8.9,3.6,9.1,37.2,29.9,48
"Matz, Steven",571927,2025,76.2,309,59,19.1,3.6,3.05,6.4,40.5,18.8,48.6
"Smith, Shane",681343,2025,146.1,616,145,23.5,9.4,3.81,6.8,45.4,27.7,48.3
"Imanaga, Shota",684007,2024,173.1,694,174,25.1,4,2.91,8.6,39.3,28.3,55.7
"Pfaadt, Brandon",694297,2023,96,421,94,22.3,6.2,5.72,11.7,44,25,49.3
"Hancock, Emerson",676106,2025,90,385,64,16.6,8.1,4.9,7.7,42.5,20.3,49.6
"Gallen, Zac",668678,2022,184,714,192,26.9,6.6,2.54,7.8,36.1,23,47.4
"Carrasco, Carlos",471911,2019,80,341,96,28.2,4.7,5.29,13.8,45.8,31.1,51.7
"Hendricks, Kyle",543294,2025,164.2,695,114,16.4,6.2,4.76,8.3,34.3,18.3,48
"Bubic, Kris",663460,2022,129,587,110,18.7,10.7,5.58,7.8,44.9,21.3,47
"Ober, Bailey",641927,2025,146.1,624,120,19.2,5,5.1,10.9,39.1,24.1,51.7
"Wainwright, Adam",425794,2019,171.2,745,153,20.5,8.6,4.19,7.1,39.2,19.5,42.4
"Stripling, Ross",548389,2024,85.1,381,49,12.9,5.8,6.01,6.8,35.3,16.9,47.9
"Holland, Derek",502706,2019,84.1,376,82,21.8,12,6.08,13.8,42.1,26.9,45.5
"Hendricks, Kyle",543294,2024,130.2,567,87,15.3,7.6,5.92,7.4,33.4,18.9,46.2
"Hudson, Dakota",641712,2019,174.2,757,136,18,11.4,3.35,7.5,38.8,23.7,44.2
"Spence, Mitch",687765,2024,151.1,651,126,19.4,6.8,4.58,8.4,41.7,22.5,50.6
"Germán, Domingo",593334,2021,98.1,410,98,23.9,6.6,4.58,7.8,39.2,30.2,50.3
"Berríos, José",621244,2025,166,698,138,19.8,8,4.17,11.3,42.5,22,46.1
"Rasmussen, Drew",656876,2025,150,585,127,21.7,6.3,2.76,6.3,43.3,22.2,48.6
"Ashcraft, Graham",668933,2022,105,464,71,15.3,6.5,4.89,4.8,36.3,18.6,49.4
"Webb, Logan",657277,2025,207,856,224,26.2,5.4,3.22,8.3,40.2,24.7,46.2
"Crawford, Kutter",676710,2022,77.1,334,77,23.1,8.7,5.47,8.8,38.9,25.6,47.7
"Taillon, Jameson",592791,2025,129.2,519,98,18.9,5.2,3.68,8.1,38.3,20.8,48.5
"Freeland, Kyle",607536,2019,104.1,472,79,16.7,8.1,6.73,9.6,40.1,21.2,48.4
"Carrasco, Carlos",471911,2022,152,645,152,23.6,6.4,3.97,7.1,39.5,27.7,52.1
"Houck, Tanner",656557,2023,106,463,99,21.4,8.9,5.01,6.6,43.8,28.8,47.3
"Walden, Marcus",519393,2019,78,327,76,23.2,9.8,3.81,3.1,36,29.6,48.8
"Woodruff, Brandon",605540,2022,153.1,620,190,30.6,6.8,3.05,7.1,37.5,31.1,49.4
"Sale, Chris",519242,2023,102.2,425,125,29.4,6.8,4.3,8.4,34.6,29.7,48.1
"Gallen, Zac",668678,2024,148,621,156,25.1,8.7,3.65,7.4,41,26,44.2
"Eflin, Zach",621107,2024,165.1,684,134,19.6,3.5,3.59,7.5,36.1,21.6,50
"Keller, Mitch",656605,2024,178,773,166,21.5,6.5,4.25,7.2,39.3,21.5,47.6
"Lyles, Jordan",543475,2023,177.2,748,120,16,6,6.28,9.9,35.5,20.1,48.1
"Rogers, Tyler",643511,2022,75.2,319,49,15.4,7.2,3.57,3.8,32.8,19.5,44.8
"Plutko, Adam",592644,2019,109.1,462,78,16.9,5.6,4.86,8.3,32.8,18.8,49.4
"Keller, Brad",641745,2019,165.1,709,122,17.2,9.9,4.19,6.4,38.6,19.9,46
"Povich, Cade",700249,2025,112.1,488,118,24.2,8.8,5.21,11.3,46.9,24.2,44.9
"Peacock, Brad",502748,2019,91.2,383,96,25.1,8.1,4.12,8.5,41.4,21.7,43
"Pivetta, Nick",601713,2022,179.2,773,175,22.6,9.4,4.56,9.1,45.6,23.5,47.6
"Detmers, Reid",672282,2022,129,539,122,22.6,8.5,3.77,8,38.6,25.5,48.3
